x,y,u,v,p,speed
 0.27734,   0.01953125,  -0.01182284,   0.00107861,   0.03303062,   0.01187194
 0.28516,   0.01953125,  -0.01265167,   0.00110522,   0.03293132,   0.01269985
 0.29297,   0.01953125,  -0.01349818,   0.00112943,   0.03283537,   0.01354535
 0.30078,   0.01953125,  -0.01436034,   0.00115095,   0.03274335,   0.01440639
 0.30859,   0.01953125,  -0.01523591,   0.00116944,   0.03265582,   0.01528072
 0.31641,   0.01953125,  -0.01612239,   0.00118457,   0.03257339,   0.01616584
 0.32422,   0.01953125,  -0.01701704,   0.00119600,   0.03249664,   0.01705902
 0.33203,   0.01953125,  -0.01791690,   0.00120341,   0.03242620,   0.01795727
 0.33984,   0.01953125,  -0.01881877,   0.00120647,   0.03236266,   0.01885740
 0.34766,   0.01953125,  -0.01971922,   0.00120486,   0.03230662,   0.01975599
 0.35547,   0.01953125,  -0.02061460,   0.00119827,   0.03225868,   0.02064940
 0.36328,   0.01953125,  -0.02150107,   0.00118641,   0.03221940,   0.02153378
 0.37109,   0.01953125,  -0.02237460,   0.00116903,   0.03218931,   0.02240512
 0.37891,   0.01953125,  -0.02323097,   0.00114586,   0.03216893,   0.02325921
 0.38672,   0.01953125,  -0.02406583,   0.00111670,   0.03215871,   0.02409172
 0.39453,   0.01953125,  -0.02487470,   0.00108136,   0.03215905,   0.02489820
 0.40234,   0.01953125,  -0.02565301,   0.00103969,   0.03217030,   0.02567407
 0.41016,   0.01953125,  -0.02639610,   0.00099160,   0.03219274,   0.02641472
 0.41797,   0.01953125,  -0.02709930,   0.00093702,   0.03222656,   0.02711549
 0.42578,   0.01953125,  -0.02775792,   0.00087595,   0.03227188,   0.02777174
 0.43359,   0.01953125,  -0.02836732,   0.00080842,   0.03232871,   0.02837884
 0.44141,   0.01953125,  -0.02892292,   0.00073453,   0.03239696,   0.02893225
 0.44922,   0.01953125,  -0.02942028,   0.00065444,   0.03247644,   0.02942755
 0.45703,   0.01953125,  -0.02985508,   0.00056835,   0.03256684,   0.02986049
 0.46484,   0.01953125,  -0.03022323,   0.00047656,   0.03266773,   0.03022699
 0.47266,   0.01953125,  -0.03052088,   0.00037938,   0.03277856,   0.03052324
 0.48047,   0.01953125,  -0.03074445,   0.00027724,   0.03289867,   0.03074570
 0.48828,   0.01953125,  -0.03089071,   0.00017059,   0.03302725,   0.03089118
 0.49609,   0.01953125,  -0.03095678,   0.00005997,   0.03316337,   0.03095684
 0.50391,   0.01953125,  -0.03094021,  -0.00005406,   0.03330601,   0.03094026
 0.51172,   0.01953125,  -0.03083900,  -0.00017083,   0.03345401,   0.03083947
 0.51953,   0.01953125,  -0.03065162,  -0.00028965,   0.03360610,   0.03065299
 0.52734,   0.01953125,  -0.03037708,  -0.00040978,   0.03376092,   0.03037984
 0.53516,   0.01953125,  -0.03001492,  -0.00053043,   0.03391702,   0.03001961
 0.54297,   0.01953125,  -0.02956528,  -0.00065077,   0.03407289,   0.02957244
 0.55078,   0.01953125,  -0.02902886,  -0.00076994,   0.03422693,   0.02903907
 0.55859,   0.01953125,  -0.02840702,  -0.00088706,   0.03437752,   0.02842086
 0.56641,   0.01953125,  -0.02770168,  -0.00100124,   0.03452301,   0.02771977
 0.57422,   0.01953125,  -0.02691543,  -0.00111159,   0.03466175,   0.02693838
 0.58203,   0.01953125,  -0.02605147,  -0.00121720,   0.03479209,   0.02607989
